model,scoring,manipulation,predicted_label,rows,rate
Mistral,cal,controlled_baseline,A,5139,0.23781757600999584
Mistral,cal,controlled_baseline,B,5227,0.24188995326021565
Mistral,cal,controlled_baseline,C,5973,0.27641260585867
Mistral,cal,controlled_baseline,D,5270,0.2438798648711185
Mistral,cal,label_only,A,25481,0.39417424664315326
Mistral,cal,label_only,B,8928,0.13811026545387042
Mistral,cal,label_only,C,12034,0.1861580347750758
Mistral,cal,label_only,D,18201,0.2815574531279005
Mistral,cal,position_only,A,23370,0.36151847039168367
Mistral,cal,position_only,B,9843,0.1522647113421199
Mistral,cal,position_only,C,13668,0.21143493595693336
Mistral,cal,position_only,D,17763,0.27478188230926304
Mistral,raw,controlled_baseline,A,10230,0.4734138553380536
Mistral,raw,controlled_baseline,B,4427,0.20486834189458097
Mistral,raw,controlled_baseline,C,4138,0.19149428478874542
Mistral,raw,controlled_baseline,D,2814,0.13022351797862003
Mistral,raw,label_only,A,40991,0.6341037064538085
Mistral,raw,label_only,B,6998,0.10825443970051359
Mistral,raw,label_only,C,8305,0.12847286677804592
Mistral,raw,label_only,D,8350,0.12916898706763194
Mistral,raw,position_only,A,40221,0.622192314832003
Mistral,raw,position_only,B,6965,0.10774395148815048
Mistral,raw,position_only,C,9594,0.14841284573974384
Mistral,raw,position_only,D,7864,0.12165088794010272
Phi,cal,controlled_baseline,A,4319,0.1998704243602203
Phi,cal,controlled_baseline,B,5452,0.2523022814568004
Phi,cal,controlled_baseline,C,5766,0.26683326391781204
Phi,cal,controlled_baseline,D,6072,0.2809940302651673
Phi,cal,label_only,A,16446,0.2544087618340449
Phi,cal,label_only,B,16063,0.24848400470267928
Phi,cal,label_only,C,16314,0.2523668089845925
Phi,cal,label_only,D,15821,0.24474042447868324
Phi,cal,position_only,A,15575,0.2409349668956129
Phi,cal,position_only,B,17264,0.2670626817647423
Phi,cal,position_only,C,17092,0.26440195532454674
Phi,cal,position_only,D,14713,0.22760039601509807
Phi,raw,controlled_baseline,A,3481,0.16109028645471793
Phi,raw,controlled_baseline,B,6994,0.3236614373640613
Phi,raw,controlled_baseline,C,6162,0.2851589615438012
Phi,raw,controlled_baseline,D,4972,0.2300893146374196
Phi,raw,label_only,A,15594,0.2412288843512159
Phi,raw,label_only,B,19752,0.30555039910896603
Phi,raw,label_only,C,15836,0.24497246457521193
Phi,raw,label_only,D,13462,0.20824825196460614
Phi,raw,position_only,A,15357,0.23756265082606273
Phi,raw,position_only,B,20089,0.31076356661097704
Phi,raw,position_only,C,16858,0.26078212981869936
Phi,raw,position_only,D,12340,0.19089165274426087
Qwen,cal,controlled_baseline,A,4297,0.19885233004766534
Qwen,cal,controlled_baseline,B,4904,0.22694247767134065
Qwen,cal,controlled_baseline,C,6318,0.29237817576009995
Qwen,cal,controlled_baseline,D,6090,0.2818270165208941
Qwen,cal,label_only,A,24885,0.3849545201410804
Qwen,cal,label_only,B,14134,0.21864364828909102
Qwen,cal,label_only,C,14578,0.22551203514633997
Qwen,cal,label_only,D,11047,0.17088979642348864
Qwen,cal,position_only,A,22046,0.3410370645380855
Qwen,cal,position_only,B,15775,0.24402883484932864
Qwen,cal,position_only,C,16113,0.24925747169110823
Qwen,cal,position_only,D,10710,0.16567662892147764
Qwen,raw,controlled_baseline,A,2441,0.11296219167939285
Qwen,raw,controlled_baseline,B,4610,0.2133370354944699
Qwen,raw,controlled_baseline,C,5344,0.24730436392243973
Qwen,raw,controlled_baseline,D,9214,0.4263964089036975
Qwen,raw,label_only,A,10092,0.15611657694449602
Qwen,raw,label_only,B,11575,0.17905760782129818
Qwen,raw,label_only,C,16910,0.26158653548666544
Qwen,raw,label_only,D,26067,0.40323927974754037
Qwen,raw,position_only,A,11944,0.18476579419590372
Qwen,raw,position_only,B,11481,0.1776034898830518
Qwen,raw,position_only,C,17211,0.2662428067570076
Qwen,raw,position_only,D,24008,0.37138790916403686
