model,model_id,condition,anchor,layer,patched_correct,margin_improvement,recovery
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,all_option_ends,2,0.1368421052631579,0.9405701754385964,0.1746008327907066
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,all_option_ends,4,0.14035087719298245,0.8881578947368421,0.16871598435991755
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,all_option_ends,6,0.11929824561403508,0.7515350877192982,0.14193827366623496
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,all_option_ends,8,0.13333333333333333,0.7107456140350877,0.13289357507193567
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,all_option_ends,10,0.12280701754385964,0.7677631578947368,0.14694197092804173
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,all_option_ends,12,0.11578947368421053,0.681359649122807,0.13479530484295
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,all_option_ends,14,0.10175438596491228,0.694078947368421,0.13454720395302677
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,all_option_ends,16,0.07017543859649122,0.4861842105263158,0.08668869503378873
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,options_end,2,0.10877192982456141,0.41228070175438597,0.07074792287207617
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,options_end,4,0.12631578947368421,0.4085526315789474,0.07505446465679214
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,options_end,6,0.12982456140350876,0.41732456140350876,0.07923484888361756
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,options_end,8,0.11929824561403508,0.3714912280701754,0.07118757256078632
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,options_end,10,0.14736842105263157,0.4390350877192982,0.08319864118693304
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,options_end,12,0.13333333333333333,0.3675438596491228,0.06835052462239236
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,options_end,14,0.10175438596491228,0.2675438596491228,0.05223711336514718
Qwen,Qwen/Qwen2.5-1.5B-Instruct,cross_item_clean_to_corrupt,options_end,16,0.06666666666666667,0.16403508771929826,0.02975595608419873
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,all_option_ends,2,0.16140350877192983,0.8296052631578947,0.15502687178220617
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,all_option_ends,4,0.15789473684210525,0.8008771929824562,0.14347215864046556
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,all_option_ends,6,0.1649122807017544,0.774780701754386,0.14250225484252535
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,all_option_ends,8,0.15087719298245614,0.7092105263157895,0.13820786442286395
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,all_option_ends,10,0.14035087719298245,0.7070175438596491,0.1287811081250314
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,all_option_ends,12,0.12631578947368421,0.7539473684210526,0.13054999892821373
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,all_option_ends,14,0.11578947368421053,0.7708333333333334,0.1344058071390668
