model,model_id,anchor,layer,run_kind,attention_mass_question_options,attention_mass_wrapper_syntax,attention_entropy
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,0,clean_correct_wrapped,0.8010789195510972,0.19892108090923558,2.6997159036453704
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,0,corrupt_wrong_wrapped,0.8044406150129321,0.1955593865608569,2.6921863716248184
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,0,vanilla_same_item,0.8350343196864514,0.16496568242560242,2.632731910964899
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,1,clean_correct_wrapped,0.6894841686672789,0.3105158314474519,3.575479414414244
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,1,corrupt_wrong_wrapped,0.6953640964080129,0.3046359035129323,3.587011368651139
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,1,vanilla_same_item,0.7201360770431181,0.27986392367006296,3.3931228230222623
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,2,clean_correct_wrapped,0.4187392544613833,0.5812607452509604,2.4632577977442778
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,2,corrupt_wrong_wrapped,0.4195686746879357,0.5804313258459922,2.474204115580484
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,2,vanilla_same_item,0.8510880196379207,0.14891197980820317,2.2584191390558295
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,3,clean_correct_wrapped,0.41594560880760273,0.5840543909548109,2.3745603603577754
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,3,corrupt_wrong_wrapped,0.4173825831684403,0.5826174167221208,2.3976208769177134
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,3,vanilla_same_item,0.8792285700756185,0.12077142900453025,2.1367797286451213
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,4,clean_correct_wrapped,0.33682736259097357,0.6631726360035657,1.9693012864334367
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,4,corrupt_wrong_wrapped,0.33515126338211815,0.6648487372975899,1.9690039806351152
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,4,vanilla_same_item,0.8750573415218156,0.12494265899962163,1.7358840541859641
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,5,clean_correct_wrapped,0.44081918077913823,0.5591808187887963,2.2031695983301827
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,5,corrupt_wrong_wrapped,0.44021255426386124,0.5597874454056592,2.205000406695388
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,5,vanilla_same_item,0.9196811921533519,0.08031880793434794,2.0094286851977046
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,6,clean_correct_wrapped,0.3383355398344531,0.661664461765557,1.82893677187882
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,6,corrupt_wrong_wrapped,0.338466682263575,0.6615333189752111,1.816770768010368
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,6,vanilla_same_item,0.9019338470089061,0.09806615258077124,1.6805460639951522
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,7,clean_correct_wrapped,0.5910792495676158,0.40892075138441925,2.9899834813430295
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,7,corrupt_wrong_wrapped,0.5915175338225193,0.4084824654331811,2.985264018108273
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,7,vanilla_same_item,0.825319625717767,0.1746803738079661,2.8609842693945122
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,8,clean_correct_wrapped,0.4665712141993766,0.5334287859246977,2.155626652054271
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,8,corrupt_wrong_wrapped,0.46283701624410484,0.5371629842320055,2.1526757375233703
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,8,vanilla_same_item,0.9157734731013467,0.0842265272981556,2.1016412629370103
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,9,clean_correct_wrapped,0.4773002857527564,0.5226997130803869,2.5237840724270244
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,9,corrupt_wrong_wrapped,0.47642431899460846,0.5235756805426495,2.5222785265996444
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,9,vanilla_same_item,0.8694566341265653,0.13054336557006163,2.3861685629215157
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,10,clean_correct_wrapped,0.5485294767688749,0.45147052073023386,2.5778090766647406
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,10,corrupt_wrong_wrapped,0.5481096502738879,0.4518903491684397,2.577596296065035
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,10,vanilla_same_item,0.8922021753260707,0.10779782408493202,2.465371974396427
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,11,clean_correct_wrapped,0.5488498595863415,0.45115013946644617,2.898402421446572
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,11,corrupt_wrong_wrapped,0.5479162723831562,0.45208372637892125,2.893030620841255
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,11,vanilla_same_item,0.7840263472205742,0.21597365303238977,2.7408936777135784
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,12,clean_correct_wrapped,0.48358718628839054,0.5164128133969937,2.4271651327000026
