model,model_id,anchor,layer,cos_clean_vanilla,cos_corrupt_vanilla,delta_clean_minus_corrupt
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,2,0.933805025042149,0.9269051426335385,0.006899882408610562
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,4,0.9294176455129657,0.9190292446236862,0.01038840088927955
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,6,0.9580153038627223,0.9532848130192673,0.004730490843454996
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,8,0.9577246145198219,0.952789606964379,0.004935007555442944
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,10,0.9592619952402617,0.9539019668311404,0.005360028409121329
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,12,0.9626445410544412,0.9576543814257572,0.004990159628684061
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,14,0.964964547282771,0.9593565792368169,0.005607968045954119
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,16,0.9640549003032216,0.958610717455546,0.005444182847675524
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,2,0.9167637026100828,0.9132585501461699,0.0035051524639129637
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,4,0.9056738021080954,0.8991513907909393,0.006522411317156072
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,6,0.9355607532618339,0.9320937247652756,0.003467028496558206
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,8,0.9325998691090366,0.9278286039829254,0.004771265126111215
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,10,0.9359534512486374,0.9298645833082366,0.006088867940400776
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,12,0.9422451332995766,0.9369270745076631,0.005318058791913484
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,14,0.946336701669191,0.9387267480816758,0.0076099535875153125
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,16,0.9436411445600945,0.9364538696774265,0.007187274882667943
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,2,0.9048956473668416,0.8941015281279882,0.010794119238853454
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,5,0.9124100170532863,0.9038872572779656,0.00852275977532069
